"Stage","Strategy","RunId","CouponId","Quantity","Requests","Vus","K6ExitCode","ValidRun","Attempted","Completed","Success","SoldOut","DuplicateRequest","DuplicateUser","InternalError","SetupError","Unexpected","RequestsPerSecond","AvgMs","P90Ms","P95Ms","P99Ms","MaxMs","SuccessAvgMs","SuccessP95Ms","SoldOutAvgMs","SoldOutP95Ms","DbRemaining","RedisRemaining","EffectiveRemaining","IssueCount","Consistent"
"basic","direct","r0814full2-b-01","10","100","200","50","0","True","200","200","200","0","0","0","0","0","0","137.80319113605776","318.05052249999994","380.87796000000003","385.95191","387.406784","387.5553","318.05052249999994","385.95191",,,"80",,"80","200","False"
"basic","jvm-lock","r0814full2-b-02","11","100","200","50","0","True","200","200","100","100","0","0","0","0","0","112.78963391078995","414.14511049999993","660.3162","667.91311","675.775631","679.3458","477.985484","671.2908150000001","350.3047370000001","631.8888549999999","0",,"0","100","True"
"basic","pessimistic","r0814full2-b-03","12","100","200","50","0","True","200","200","100","100","0","0","0","0","0","200.23285078217458","240.36395349999998","431.01288","432.627875","444.232421","446.7535","327.86050100000006","435.91555","152.867406","405.22362499999997","0",,"0","100","True"
"basic","optimistic","r0814full2-b-04","13","100","200","50","99","False","200","200","100","77","0","0","23","0","0","123.42786838343312","398.27308750000003","1498.31804","1563.93448","1583.666272","1586.238","204.32285400000004","431.89879499999944","325.81705454545437","1579.81348","0",,"0","100","True"
"basic","conditional","r0814full2-b-05","14","100","200","50","0","True","200","200","100","100","0","0","0","0","0","202.3848013061915","233.85417899999996","407.05915","410.3716","412.71601599999997","415.654","308.26472200000006","411.54987500000004","159.44363599999994","373.94379499999997","0",,"0","100","True"
"basic","redis-lock","r0814full2-b-06","15","100","200","50","99","False","200","200","100","97","0","0","3","0","0","273.887810075237","161.629893","236.12044999999998","257.16202999999996","295.95992399999983","364.8206","184.66683199999997","275.889725","135.06013092783502","201.07657999999984","100","0","0","100","True"
"basic","redis-decr","r0814full2-b-07","16","100","200","50","0","True","200","200","100","100","0","0","0","0","0","688.177252438556","65.57540900000008","111.97281","115.8572","120.9877","121.4941","85.47332700000001","116.88486499999999","45.67749099999998","89.0095","100","0","0","100","True"
"basic","redis-lua","r0814full2-b-08","17","100","200","50","0","True","200","200","100","100","0","0","0","0","0","671.2747440261583","67.34787950000003","117.34823999999999","119.2328","120.1849","120.1849","87.808324","120.121535","46.887435","93.220625","100","0","0","100","True"
"basic","redis-watch","r0814full2-b-09","18","100","200","50","99","False","200","200","100","99","0","0","1","0","0","302.9313913411606","154.95168049999995","257.32252","273.3659149999999","342.52806099999987","378.3247","193.65360099999995","290.61436","113.60253838383836","245.93717999999998","100","0","0","100","True"
"contention","direct","r0814full2-c-10","19","100","1000","50","0","True","1000","1000","999","1","0","0","0","0","0","145.7175555745992","334.2686060000001","357.13971","367.7064149999999","398.653004","404.304","334.33064774774783","367.8194299999998","272.2889","272.2889","0",,"0","999","False"
